ptype,adapter,human_readable_profile,layer,target_module,matrix_rows,matrix_columns,rank,lora_alpha,scale,a_norm,b_norm,effective_update_frobenius_norm,effective_update_spectral_norm,spectral_to_frobenius_ratio
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,14,up_proj,14336,4096,16,32.0,2.0,3.292754389339498,3.958881082827168,6.778291667782796,3.04215083011919,0.4488078972137664
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,14,v_proj,1024,4096,16,32.0,2.0,3.2614564547092386,0.87113358867063,1.5208410645659118,0.7195340620256337,0.4731158822509884
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,15,down_proj,4096,14336,16,32.0,2.0,5.19353200014215,1.9286564061329594,5.800589835128321,3.7031442291018473,0.6384082195702994
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,15,gate_proj,14336,4096,16,32.0,2.0,3.593124338622321,4.380791742033672,9.190709994224182,5.9308229641867936,0.6453062894938438
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,15,k_proj,1024,4096,16,32.0,2.0,3.386529985462331,0.9999478394378727,1.8918078781789376,0.9393967588801251,0.4965603377148384
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,15,o_proj,4096,4096,16,32.0,2.0,3.1487560099419567,1.8972489033600153,3.2228367563979594,1.5981543479099445,0.4958843617311043
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,15,q_proj,4096,4096,16,32.0,2.0,3.354156138847542,2.068728279301993,3.7180462670272822,1.652514535251007,0.44445776533390335
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,15,up_proj,14336,4096,16,32.0,2.0,3.315563923512749,3.977907207136253,6.987086309737171,3.5124686235428833,0.5027086353073846
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,15,v_proj,1024,4096,16,32.0,2.0,3.2972595457419587,0.8600696249132513,1.5307718153617351,0.8313813593907963,0.5431125338522995
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,16,down_proj,4096,14336,16,32.0,2.0,5.242602821427775,1.967824457953067,6.042189824806245,4.093982410127283,0.6775660031929839
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,16,gate_proj,14336,4096,16,32.0,2.0,3.532450958366104,4.2212634801553,9.248053114803552,6.769544184897696,0.7319966809080654
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,16,k_proj,1024,4096,16,32.0,2.0,3.3815060428090793,1.0026757940094437,1.955842433436955,1.0877887537066806,0.5561740225643512
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,16,o_proj,4096,4096,16,32.0,2.0,3.183022618631048,1.9608499750604425,3.2874429913593115,1.5317552467346565,0.46594123480185345
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,16,q_proj,4096,4096,16,32.0,2.0,3.2618145797326457,2.0019492033258595,3.4305230156759405,1.4177792259104096,0.4132836944780137
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,16,up_proj,14336,4096,16,32.0,2.0,3.3498251228808584,4.035120685864624,7.0761481793782,3.12622889248301,0.4417981101065241
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,16,v_proj,1024,4096,16,32.0,2.0,3.299081759847995,0.8592267126981298,1.526210676273561,0.7179166917196189,0.4703916064016172
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,17,down_proj,4096,14336,16,32.0,2.0,5.191148000529016,1.9358868900149566,5.815952300445523,3.667944196438403,0.6306695803123119
