ptype,layer,centroid_norm
2,26,10.3841545
2,27,11.401386083333334
2,28,12.400186333333332
2,29,14.496051
2,30,18.5635955
2,31,33.993235166666665
3,0,0.09502200083333333
3,1,0.8607994883333333
3,2,0.9492945733333333
3,3,1.136284205
3,4,1.3219706733333334
3,5,1.4846282216666669
3,6,1.6384679833333333
3,7,1.8641075666666664
3,8,2.0795401166666667
3,9,2.2299693499999997
3,10,2.3074654666666667
3,11,2.4329501
3,12,2.6691449833333336
3,13,2.8931013333333335
3,14,2.9802992666666666
3,15,3.1444265333333337
3,16,3.66348985
3,17,4.212206083333333
3,18,4.66855035
3,19,4.9554538500000005
3,20,5.286433633333333
3,21,6.266905266666666
3,22,6.840615016666667
3,23,7.5610505
3,24,8.2755971
3,25,9.001444333333334
3,26,9.792777416666667
3,27,10.715214216666666
3,28,11.436328000000001
3,29,13.370203833333335
3,30,17.462565333333334
3,31,33.34374416666667
4,0,0.10617841066666667
4,1,1.2743637316666667
4,2,1.379740395
4,3,1.5467720733333332
4,4,1.7259709399999998
4,5,1.8911033933333332
4,6,2.055415
4,7,2.2582913833333333
4,8,2.47757155
4,9,2.62060265
4,10,2.7524826
4,11,2.843101883333333
4,12,3.1168415333333335
4,13,3.2751335333333333
4,14,3.3961460166666666
4,15,3.5746611833333333
4,16,4.110659133333333
4,17,4.6331645833333335
4,18,5.076582383333334
4,19,5.367753216666666
4,20,5.765094449999999
4,21,6.669020133333333
4,22,7.357162783333333
4,23,8.108531016666666
4,24,8.8177854
4,25,9.509325716666666
4,26,10.4372695
4,27,11.420500500000001
4,28,12.284957166666667
4,29,14.212636000000002
4,30,18.064314333333332
4,31,34.980899
5,0,0.11686859233333334
5,1,1.0109827850000002
5,2,1.1269990533333334
5,3,1.3076723399999999
5,4,1.4905456499999998
5,5,1.6883398600000001
5,6,1.8720804666666666
5,7,2.1289321
5,8,2.364642116666667
5,9,2.538966483333333
5,10,2.6772542833333333
5,11,2.7932471166666666
5,12,3.0651751333333337
5,13,3.2495044666666666
5,14,3.4537603333333333
5,15,3.6588042499999998
5,16,4.3438925500000005
5,17,4.9489757
5,18,5.428574466666666
5,19,5.7967856
5,20,6.223883933333333
5,21,7.362438666666667
5,22,8.109157983333334
5,23,8.997546733333333
5,24,9.727061133333335
5,25,10.607748416666666
5,26,11.598736333333333
5,27,12.647487666666668
5,28,13.656456833333332
5,29,15.776559166666667
5,30,19.719709499999997
5,31,35.390687166666666
6,0,0.11765386416666668
6,1,1.051146715
6,2,1.1434065033333334
6,3,1.3282962066666666
6,4,1.5087039983333332
6,5,1.6527399450000002
6,6,1.8322348166666667
6,7,2.065284183333333
6,8,2.2800253
6,9,2.4115053
6,10,2.5122612833333333
6,11,2.590374333333333
6,12,2.866474966666667
6,13,3.1095204333333335
6,14,3.2234577666666664
6,15,3.4597234
6,16,4.01645915
6,17,4.563884649999999
6,18,5.06286035
6,19,5.3690990833333325
6,20,5.715885316666667
6,21,6.661669616666667
6,22,7.310289900000001
6,23,8.076307183333334
6,24,8.753680699999999
6,25,9.539883116666667
6,26,10.520545666666667
6,27,11.514079166666667
6,28,12.4585625
6,29,14.425397833333333
6,30,18.739156666666666
6,31,35.09765616666667
7,0,0.04357895283333333
7,1,0.3797101508333333
7,2,0.42426204000000006
7,3,0.49704477666666663
7,4,0.556350045
7,5,0.6032064116666667
7,6,0.6521637583333333
7,7,0.7503879783333334
7,8,0.8714820433333333
7,9,0.9995568283333333
7,10,1.1246711
7,11,1.2415662833333334
7,12,1.4318198833333333
7,13,1.6126881
7,14,1.8172194166666664
7,15,2.0381468666666667
7,16,2.38202095
7,17,2.8072713166666667
7,18,3.1356276333333333
7,19,3.3598602166666667
7,20,3.5832413666666665
7,21,4.282283883333333
7,22,4.6878064833333335
7,23,5.245358599999999
7,24,5.712701549999999
7,25,6.187376333333334
7,26,6.881681366666666
7,27,7.503479683333334
7,28,8.012623549999999
7,29,9.174325633333334
7,30,12.076896
