representation,prompt_group,pooling_rule,layer,target,procrustes_disparity,mean_canonical_correlation,leave_profile_out_multivariate_r2,leave_profile_out_O_r2,leave_profile_out_C_r2,leave_profile_out_E_r2,leave_profile_out_A_r2,leave_profile_out_N_r2
activation,ipip_stems,final_token,8,row_weighted_continuous,1.089915572370042,0.4758956002564771,-0.36797596503426633,-0.6266999356901841,-0.1554144974146241,0.022746946190630224,-0.5505138526120426,-0.5299984856451112
activation,ipip_stems,final_token,8,unique_tuple_weighted_continuous,1.05805411455373,0.4959441065469659,-0.29594018132781513,-0.4558688010851977,-0.15217012063365387,0.09250687709051131,-0.4384096323844082,-0.5257592296263272
activation,ipip_stems,final_token,9,row_weighted_continuous,1.0477598442751885,0.49085750971567654,-0.18125645191613787,-0.5162546259761875,0.029233508145496412,-0.023335149265718558,-0.07470535911806131,-0.3212206333662184
activation,ipip_stems,final_token,9,unique_tuple_weighted_continuous,1.0425065853480566,0.49532398781221687,-0.14107064731611949,-0.33614894553598296,0.014260763474556848,0.009766935446565705,-0.04395168141651684,-0.3492803085492202
activation,ipip_stems,final_token,10,row_weighted_continuous,0.9713653876296755,0.5297200026398596,-0.13140365110590652,-0.40186894012931007,-0.0026117761362924874,-0.007351977374025598,0.1154375251169466,-0.360623087006851
activation,ipip_stems,final_token,10,unique_tuple_weighted_continuous,0.9669466547020237,0.5341733584773752,-0.10053471656001482,-0.23877267502628907,-0.009161304205514753,0.018474430635271655,0.11552505693653081,-0.38873909114007277
activation,ipip_stems,final_token,11,row_weighted_continuous,1.0741718837337229,0.46431485069330103,-0.16985361237916377,-0.460952237057185,0.16952071351797504,-0.43196355099988537,0.27303791866099236,-0.39891090601771584
activation,ipip_stems,final_token,11,unique_tuple_weighted_continuous,1.0536718980960664,0.4780409281514443,-0.14263303125163249,-0.3137846455151463,0.1425912821994102,-0.44858892233685244,0.2789472129315268,-0.3723300835371006
activation,ipip_stems,final_token,12,row_weighted_continuous,1.07147921879078,0.4710524634681087,-0.2510510944024753,-0.849256876509239,-0.04917491635852289,-0.13440125610215525,0.14177486215422053,-0.36419728519667993
activation,ipip_stems,final_token,12,unique_tuple_weighted_continuous,1.0564292281312377,0.4788661299150879,-0.2491059555971969,-0.6561432340725459,-0.21349623127746864,-0.1269127027870547,0.06616979344870055,-0.3151474032976156
activation,ipip_stems,final_token,13,row_weighted_continuous,1.1671241381827469,0.40833713683656664,-0.2538706785476231,-0.377126780820048,-0.25499618081478603,-0.1373219301187103,-0.10954678938252926,-0.3903617116020417
activation,ipip_stems,final_token,13,unique_tuple_weighted_continuous,1.1247804230834813,0.43087766264732774,-0.22015022247431423,-0.2172909439125017,-0.2854137494432434,-0.14719284299528246,-0.10205827838207893,-0.34879529763846473
activation,ipip_stems,final_token,14,row_weighted_continuous,1.1800265031404096,0.41102144313279554,-0.2028488566418639,-0.3814954341497121,-0.15011836863065087,-0.18771114134778966,0.018036029948261145,-0.312955369029428
activation,ipip_stems,final_token,14,unique_tuple_weighted_continuous,1.13815865731681,0.43243120205230223,-0.16480119694271297,-0.23810269842939835,-0.14470631933491718,-0.18182279304137694,0.024835541902051506,-0.28420971580992394
