representation,prompt_group,pooling_rule,layer,factorial_model,exposure_covariates_added,profile_disjoint_folds,reconstruction_rmse,explained_variance
activation,ipip_stems,mean_tokens,14,main_effects,False,8,0.0254594450650206,-0.2244120820921689
activation,ipip_stems,mean_tokens,14,main_effects,True,8,0.025990708157457545,-0.27604492743309583
activation,ipip_stems,mean_tokens,14,main_plus_two_way,False,8,0.03351628322675603,-1.1219807682785095
activation,ipip_stems,mean_tokens,14,main_plus_two_way,True,8,0.03742073086042402,-1.6451741558966573
activation,ipip_stems,mean_tokens,14,through_third_order,False,8,0.07709195983583021,-10.226591310192704
activation,ipip_stems,mean_tokens,14,through_third_order,True,8,0.2028607451390184,-76.73664135558508
activation,ipip_stems,mean_tokens,15,main_effects,False,8,0.026560128498394276,-0.22214471077225628
activation,ipip_stems,mean_tokens,15,main_effects,True,8,0.02741764332724743,-0.30233446473942194
activation,ipip_stems,mean_tokens,15,main_plus_two_way,False,8,0.03484164874324791,-1.103098846043411
activation,ipip_stems,mean_tokens,15,main_plus_two_way,True,8,0.03932993283801135,-1.679838971064319
activation,ipip_stems,mean_tokens,15,through_third_order,False,8,0.07958365752418016,-9.972613409144614
activation,ipip_stems,mean_tokens,15,through_third_order,True,8,0.21132256618078532,-76.36669426355164
activation,ipip_stems,mean_tokens,16,main_effects,False,8,0.02803359824097422,-0.21875138619264756
activation,ipip_stems,mean_tokens,16,main_effects,True,8,0.029068786843175147,-0.3104222160184036
activation,ipip_stems,mean_tokens,16,main_plus_two_way,False,8,0.036793428574481854,-1.0994133330343248
activation,ipip_stems,mean_tokens,16,main_plus_two_way,True,8,0.041983460621402804,-1.7334674096377465
activation,ipip_stems,mean_tokens,16,through_third_order,False,8,0.08310160177136909,-9.709673286329537
activation,ipip_stems,mean_tokens,16,through_third_order,True,8,0.22068019218956997,-74.52385324012697
