representation,prompt_group,pooling_rule,layer,subset,profiles,pairs,target,pearson_r,spearman_rho
activation,ipip_stems,final_token,7,rows_ge_1000,30,435,row_weighted_continuous,0.13842893829807829,0.10769575048437392
activation,ipip_stems,final_token,7,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.06518381292269229,0.046646995277992
activation,ipip_stems,final_token,7,rows_ge_10000,30,435,row_weighted_continuous,0.13842893829807829,0.10769575048437392
activation,ipip_stems,final_token,7,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.06518381292269229,0.046646995277992
activation,ipip_stems,final_token,7,rows_ge_50000,22,231,row_weighted_continuous,0.06981842793631456,0.06118985961564673
activation,ipip_stems,final_token,7,rows_ge_50000,22,231,unique_tuple_weighted_continuous,0.0367109421898071,0.017264744251250998
activation,ipip_stems,final_token,7,unique_tuples_ge_10,28,378,row_weighted_continuous,0.0699939004504045,0.0659666155981323
activation,ipip_stems,final_token,7,unique_tuples_ge_10,28,378,unique_tuple_weighted_continuous,0.04229966835365023,0.033135224746543096
activation,ipip_stems,final_token,7,unique_tuples_ge_25,24,276,row_weighted_continuous,0.019127439715872857,0.028396284299596182
activation,ipip_stems,final_token,7,unique_tuples_ge_25,24,276,unique_tuple_weighted_continuous,0.018232583156649804,0.014113953853398212
activation,ipip_stems,final_token,7,exposure_quartile_1,8,28,row_weighted_continuous,-0.0904610051624845,-0.1926655719759168
activation,ipip_stems,final_token,7,exposure_quartile_1,8,28,unique_tuple_weighted_continuous,0.014382288211334235,-0.11494252873563218
activation,ipip_stems,final_token,7,exposure_quartile_2,8,28,row_weighted_continuous,0.10359736099836964,0.00875752599890531
activation,ipip_stems,final_token,7,exposure_quartile_2,8,28,unique_tuple_weighted_continuous,0.021153842164538715,-0.07717569786535304
activation,ipip_stems,final_token,7,exposure_quartile_3,8,28,row_weighted_continuous,-0.03617595629000997,0.042692939244663386
activation,ipip_stems,final_token,7,exposure_quartile_3,8,28,unique_tuple_weighted_continuous,0.011789308234181901,0.0180623973727422
activation,ipip_stems,final_token,7,exposure_quartile_4,8,28,row_weighted_continuous,0.035020001462198476,0.06349206349206349
activation,ipip_stems,final_token,7,exposure_quartile_4,8,28,unique_tuple_weighted_continuous,0.05808125033345893,0.12205801860974276
activation,ipip_stems,final_token,7,pair_row_ratio_le_2_0,32,181,row_weighted_continuous,0.10408985135011897,0.08225568170319551
activation,ipip_stems,final_token,7,pair_row_ratio_le_2_0,32,181,unique_tuple_weighted_continuous,0.09475699585533541,0.053366522979782643
activation,ipip_stems,final_token,7,pair_row_ratio_le_1_5,32,117,row_weighted_continuous,0.04332817328511408,0.019931364174496844
activation,ipip_stems,final_token,7,pair_row_ratio_le_1_5,32,117,unique_tuple_weighted_continuous,0.06938896508447366,-0.0036790600788262967
activation,ipip_stems,final_token,8,all_32,32,496,row_weighted_continuous,0.11023015900824416,0.09436806567656182
activation,ipip_stems,final_token,8,all_32,32,496,unique_tuple_weighted_continuous,0.0712350909340645,0.057147872572679476
activation,ipip_stems,final_token,8,rows_ge_1000,30,435,row_weighted_continuous,0.10416836528299413,0.07097532280661342
activation,ipip_stems,final_token,8,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.06579666412395144,0.04533229728094562
activation,ipip_stems,final_token,8,rows_ge_10000,30,435,row_weighted_continuous,0.10416836528299413,0.07097532280661342
activation,ipip_stems,final_token,8,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.06579666412395144,0.04533229728094562
activation,ipip_stems,final_token,8,rows_ge_50000,22,231,row_weighted_continuous,0.028004458053696408,0.036453201970443355
