representation,prompt_group,pooling_rule,layer,transformation,interaction_order,energy
activation,ipip_stems,final_token,9,common_pc1_removed,0,6.167185670955154e-33
activation,ipip_stems,final_token,9,common_pc1_removed,1,0.22236351277488742
activation,ipip_stems,final_token,9,common_pc1_removed,2,0.421215389364367
activation,ipip_stems,final_token,9,common_pc1_removed,3,0.43346719345289053
activation,ipip_stems,final_token,9,common_pc1_removed,4,0.21195887234595098
activation,ipip_stems,final_token,9,common_pc1_removed,5,0.03983400972436388
activation,ipip_stems,final_token,9,exposure_residualized,0,4.805942891791938e-28
activation,ipip_stems,final_token,9,exposure_residualized,1,0.18324499436199682
activation,ipip_stems,final_token,9,exposure_residualized,2,0.3564223051105415
activation,ipip_stems,final_token,9,exposure_residualized,3,0.3881210267803375
activation,ipip_stems,final_token,9,exposure_residualized,4,0.1924113551356717
activation,ipip_stems,final_token,9,exposure_residualized,5,0.04073689625749073
activation,ipip_stems,final_token,9,profile_centered,0,0.0
activation,ipip_stems,final_token,9,profile_centered,1,0.3285926899348149
activation,ipip_stems,final_token,9,profile_centered,2,0.48255881161358166
activation,ipip_stems,final_token,9,profile_centered,3,0.46634265362557764
activation,ipip_stems,final_token,9,profile_centered,4,0.2267122029540542
activation,ipip_stems,final_token,9,profile_centered,5,0.040114540323299704
activation,ipip_stems,final_token,9,raw,0,5.877218373488418
activation,ipip_stems,final_token,9,raw,1,0.3285926899348149
activation,ipip_stems,final_token,9,raw,2,0.48255881161358166
activation,ipip_stems,final_token,9,raw,3,0.46634265362557764
activation,ipip_stems,final_token,9,raw,4,0.2267122029540542
activation,ipip_stems,final_token,9,raw,5,0.040114540323299704
activation,ipip_stems,final_token,9,unit_norm,0,0.0012795387177532832
activation,ipip_stems,final_token,9,unit_norm,1,0.2018434297710947
activation,ipip_stems,final_token,9,unit_norm,2,0.31118747925956514
activation,ipip_stems,final_token,9,unit_norm,3,0.3049655687248118
activation,ipip_stems,final_token,9,unit_norm,4,0.15305006380912803
activation,ipip_stems,final_token,9,unit_norm,5,0.02767391971764718
activation,ipip_stems,final_token,10,common_pc1_removed,0,6.009336702920133e-33
activation,ipip_stems,final_token,10,common_pc1_removed,1,0.24555861437106521
activation,ipip_stems,final_token,10,common_pc1_removed,2,0.4730101510584767
activation,ipip_stems,final_token,10,common_pc1_removed,3,0.4880408695760723
activation,ipip_stems,final_token,10,common_pc1_removed,4,0.23317945630001852
activation,ipip_stems,final_token,10,common_pc1_removed,5,0.040281916998090625
activation,ipip_stems,final_token,10,exposure_residualized,0,5.405373905776866e-28
activation,ipip_stems,final_token,10,exposure_residualized,1,0.20755643095426118
activation,ipip_stems,final_token,10,exposure_residualized,2,0.3999668443658074
activation,ipip_stems,final_token,10,exposure_residualized,3,0.4377202118189245
activation,ipip_stems,final_token,10,exposure_residualized,4,0.21007093979050184
activation,ipip_stems,final_token,10,exposure_residualized,5,0.03972050980060651
activation,ipip_stems,final_token,10,profile_centered,0,0.0
activation,ipip_stems,final_token,10,profile_centered,1,0.36884502391538976
activation,ipip_stems,final_token,10,profile_centered,2,0.5455814753772389
activation,ipip_stems,final_token,10,profile_centered,3,0.5203068321001446
